"syn"	"gene"
"OTTHUMP00000016528::OTTHUMP00000039883::MT-ALARS::MTALARS::bA444E17.1::COXPD8::AARSL::alanine tRNA ligase 2, mitochondrial (putative)::alanine--tRNA ligase, mitochondrial::alanyl-tRNA synthetase 2, mitochondrial::alanyl-tRNA synthetase 2, mitochondrial (putative)::alanyl-tRNA synthetase like::RP11-444E17.1::probable alanyl-tRNA synthetase, mitochondrial::KIAA1270"	"AARS2"
"OTTHUMP00000204017::MGC2744::alanyl-tRNA editing protein Aarsd1::alanyl-tRNA synthetase domain containing 1::alanyl-tRNA synthetase domain-containing protein 1"	"AARSD1"
"ACSF4::aminoadipate-semialdehyde dehydrogenase::acyl-CoA synthetase family member 4::2-aminoadipic 6-semialdehyde dehydrogenase::non-ribosomal peptide synthetase 1098::non-ribosomal peptide synthetase 998::NRPS1098::NRPS998::HSPC318::LYS2"	"AASDH"
"LYS2::LYS5::LYS5 ortholog::L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase::CGI-80::DKFZp566E2346::AASD-PPT::4'-phosphopantetheinyl transferase::aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase::alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"AASDHPPT"
"LORSDH::lysine-2-oxoglutarate reductase::lysine-ketoglutarate reductase /saccharopine dehydrogenase::LKR/SDH::LKRSDH::alpha-aminoadipate semialdehyde synthase::alpha-aminoadipic semialdehyde synthase, mitochondrial::aminoadipate-semialdehyde synthase::aminoadipic semialdehyde synthase::OTTHUMP00000211400"	"AASS"
"CHE-1::CHE1::DED::apoptosis antagonizing transcription factor::apoptosis-antagonizing transcription factor::HSPC277::protein AATF::rb-binding protein Che-1"	"AATF"
"serine/threonine-protein kinase LMTK1::p35-binding protein::p35BP::KIAA0641::lemur tyrosine kinase 1::LMR1::LMTK1::apoptosis-associated tyrosine kinase::AATYK::AATYK1::brain apoptosis-associated tyrosine kinase::CDK5-binding protein"	"AATK"
"AATK antisense RNA 1::FLJ44861"	"AATK-AS1"
"4-aminobutyrate aminotransferase::4-aminobutyrate aminotransferase, mitochondrial::4-aminobutyrate transaminase::(S)-3-amino-2-methylpropionate transaminase::NPD009::hCG_1984265::GABA aminotransferase::GABA transaminase::GABA transferase::GABA-AT::GABAT::gamma-amino-N-butyrate transaminase::FLJ17813"	"ABAT"
"FLJ14958::HDLDT1::CERP::cholesterol efflux regulatory protein::ABC-1::ABC1::ATP binding cassette transporter 1::ATP-binding cassette 1::ATP-binding cassette sub-family A member 1::ATP-binding cassette transporter A1::ATP-binding cassette, sub-family A (ABC1), member 1::ATP-binding cassette, sub-family A member 1::TGD::membrane-bound::MGC164864::MGC165011::OTTHUMP00000021833"	"ABCA1"
"EST698739::ATP-binding cassette A10::ATP-binding cassette sub-family A member 10::ATP-binding cassette, sub-family A (ABC1), member 10::ATP-binding cassette, sub-family A, member 10"	"ABCA10"
"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene::ABCA11::FLJ14297::EST1133530::MGC120309::MGC120310::MGC120312::MGC132744::MGC138274"	"ABCA11P"
"LI2::FLJ41584::ichthyosis congenita II, lamellar ichthyosis B::ICR2B::DKFZp434G232::ATP-binding cassette sub-family A member 12::ATP-binding cassette transporter 12::ATP-binding cassette, sub-family A (ABC1), member 12::ATP-binding cassette, sub-family A, member 12"	"ABCA12"
"FLJ16398::FLJ33876::FLJ33951::DKFZp313D2411::ATP binding cassette transporter A13::ATP binding cassette, sub-family A (ABC1), member 13::ATP-binding cassette sub-family A member 13::ATP-binding cassette, sub-family A (ABC1), member 13"	"ABCA13"
"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene::ABCA17::FLJ37881"	"ABCA17P"
"OTTHUMP00000064733::MGC129761::ATP-binding cassette 2::ATP-binding cassette sub-family A member 2::ATP-binding cassette transporter 2::ATP-binding cassette, sub-family A (ABC1), member 2::ATP-binding cassette, sub-family A, member 2::ABC2::RP11-229P13.8"	"ABCA2"
"SMDP3::MGC166979::MGC72201::EST111653::LBM180::ABC-C::ABC-C transporter::ABC3::ABC transporter 3::ATP-binding cassette sub-family A member 3::ATP-binding cassette transporter 3::ATP-binding cassette, sub-family A (ABC1), member 3::ATP-binding cassette, sub-family A member 3"	"ABCA3"
"OTTHUMP00000012366::photoreceptor rim protein::DKFZp781N1972::ABC10::ABCR::ATP binding cassette transporter::ATP-binding cassette sub-family A member 4::ATP-binding cassette transporter, retinal-specific::ATP-binding cassette, sub-family A (ABC1), member 4::ATP-binding cassette, sub-family A member 4::ATP-binding transporter, retina-specific::ARMD2::CORD3::FFM::FLJ17534::stargardt disease protein::STGD::STGD1::RP19::retina-specific ABC transporter::retinal-specific ATP-binding cassette transporter::RIM ABC transporter::Rim protein::RMP"	"ABCA4"
"EST90625::FLJ16381::ABC13::DKFZp451F117::DKFZp779N2435::ATP-binding cassette A5::ATP-binding cassette sub-family A member 5::ATP-binding cassette, sub-family A (ABC1), member 5::ATP-binding cassette, sub-family A , member 5"	"ABCA5"
"ATP-binding cassette A6::ATP-binding cassette sub-family A member 6::ATP-binding cassette, sub-family A (ABC1), member 6::ATP-binding cassette, sub-family A, member 6::ABC transporter ABCA6::FLJ43498::EST155051"	"ABCA6"
"ATP-binding cassette sub-family A member 7::ATP-binding cassette, sub-family A (ABC1), member 7::ATP-binding cassette, sub-family A, member 7::autoantigen SS-N::ABCA-SSN::ABCX::macrophage ABC transporter::FLJ40025"	"ABCA7"
"KIAA0822::ATP-binding cassette sub-family A member 8::ATP-binding cassette, sub-family A (ABC1), member 8::ATP-binding cassette, sub-family A member 8::MGC163152"	"ABCA8"
"ATP-binding cassette A9::ATP-binding cassette sub-family A member 9::ATP-binding cassette, sub-family A (ABC1), member 9::ATP-binding cassette, sub-family A, member 9::DKFZp686F2450::MGC75415::EST640918"	"ABCA9"
"MGC163296::MDR1::PGY1::P-glycoprotein 1::P-GP::multidrug resistance protein 1::ABC20::CLCS::colchicin sensitivity::CD243::ATP-binding cassette, sub-family B (MDR/TAP), member 1::ATP-binding cassette, subfamily B, member 1::doxorubicin resistance::GP170"	"ABCB1"
"mitochondrial ATP-binding cassette 2::OTTHUMP00000037475::MTABC2::M-ABC2::EST20237::ATP-binding cassette sub-family B member 10, mitochondrial::ATP-binding cassette transporter 10::ATP-binding cassette, sub-family B (MDR/TAP), member 10::ATP-binding cassette, sub-family B, member 10::ABC transporter 10 protein"	"ABCB10"
"PFIC-2::PFIC2::PGY4::ABC16::BRIC2::BSEP::ATP-binding cassette sub-family B member 11::ATP-binding cassette, sub-family B (MDR/TAP), member 11::bile salt export pump::ABC member 16, MDR/TAP subfamily::sister p-glycoprotein::progressive familial intrahepatic cholestasis 2::SPGP"	"ABCB11"
"GBD1::ABC21::ATP-binding cassette sub-family B member 4::ATP-binding cassette, sub-family B (MDR/TAP), member 4::ATP-binding cassette, subfamily B, member 4::multidrug resistance protein 3::multiple drug resistance 3::OTTHUMP00000025014::OTTHUMP00000210458::P glycoprotein 3/multiple drug resistance 3::P-glycoprotein 3::P-glycoprotein-3/multiple drug resistance-3::PFIC-3::PGY3::MDR2::MDR2/3::MDR3"	"ABCB4"
"tcag7.1091::ATP-binding cassette protein::ATP-binding cassette sub-family B member 5::ATP-binding cassette, sub-family B (MDR/TAP), member 5::ATP-binding cassette, sub-family B, member 5::ABCB5 P-gp::ABCB5alpha::ABCB5beta::P-glycoprotein ABCB5::EST422562"	"ABCB5"
"EST45597::FLJ22414::LAN::ABC14::ABC::ATP-binding cassette half-transporter::ATP-binding cassette sub-family B member 6, mitochondrial::ATP-binding cassette, sub-family B (MDR/TAP), member 6::ATP-binding cassette, sub-family B, member 6::mitochondrial ABC transporter 3::MCOPCB7::mt-ABC transporter 3::MTABC3::P-glycoprotein-related protein::ubiquitously-expressed mammalian ABC half transporter::umat::PRP"	"ABCB6"
"ASAT::Atm1p::ATP-binding cassette 7::ATP-binding cassette sub-family B member 7, mitochondrial::ATP-binding cassette transporter 7::ATP-binding cassette, sub-family B (MDR/TAP), member 7::ATP-binding cassette, sub-family B, member 7::ABC7::ABC transporter 7 protein::OTTHUMP00000023578::EST140535"	"ABCB7"
"mitochondrial ABC protein::mitochondrial ATP-binding cassette 1::ATP-binding cassette sub-family B member 8, mitochondrial::ATP-binding cassette, sub-family B (MDR/TAP), member 8::ATP-binding cassette, sub-family B, member 8::M-ABC1::MABC1::EST328128"	"ABCB8"
"ABC transporter 9 protein::ATP-binding cassette sub-family B member 9::ATP-binding cassette, sub-family B (MDR/TAP), member 9::TAP-like protein::TAPL::EST122234::KIAA1520"	"ABCB9"
"LTC4 transporter::leukotriene C(4) transporter::GS-X::DKFZp686N04233::DKFZp781G125::ATP-binding cassette transporter variant ABCC1delta-ex13::ATP-binding cassette transporter variant ABCC1delta-ex13&14::ATP-binding cassette transporter variant ABCC1delta-ex25::ATP-binding cassette transporter variant ABCC1delta-ex25&26::ATP-binding cassette, sub-family C (CFTR/MRP), member 1::ATP-binding cassette, sub-family C, member 1::ABC29::ABCC::MRP::OTTHUMP00000045904::multidrug resistance protein::multidrug resistance-associated protein 1::multiple drug resistance protein 1::multiple drug resistance-associated protein::MRP1"	"ABCC1"
"multidrug resistance-associated protein 7::MRP7::ATP-binding cassette sub-family C member 10::ATP-binding cassette, sub-family C (CFTR/MRP), member 10::ATP-binding cassette, sub-family C, member 10::EST182763::SIMRP7::RP5-895C5.1"	"ABCC10"
"ATP-binding cassette protein C11::ATP-binding cassette sub-family C member 11::ATP-binding cassette transporter MRP8::ATP-binding cassette transporter sub-family C member 11::ATP-binding cassette, sub-family C (CFTR/MRP), member 11::ATP-binding cassette, sub-family C, member 11::multi-resistance protein 8::multidrug resistance-associated protein 8::MRP8::OTTHUMP00000164191::EWWD::WW"	"ABCC11"
"ATP-binding cassette protein C12::ATP-binding cassette sub-family C member 12::ATP-binding cassette transporter sub-family C member 12::ATP-binding cassette, sub-family C (CFTR/MRP), member 12::MRP9::multidrug resistance-associated protein 9::OTTHUMP00000164186::MGC27071"	"ABCC12"
"ATP-binding cassette protein C13::ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene::C21orf73::PRED6"	"ABCC13"
"KIAA1010::DJS::canalicular multidrug resistance protein::canalicular multispecific organic anion transporter::canalicular multispecific organic anion transporter 1::ATP-binding cassette sub-family C member 2::ATP-binding cassette, sub-family C (CFTR/MRP), member 2::CMOAT::cMRP::ABC30::RP11-114F7.2::OTTHUMP00000020267::MRP2::multidrug resistance-associated protein 2"	"ABCC2"
"cMOAT2::canalicular multispecific organic anion transporter 2::canicular multispecific organic anion transporter::ATP-binding cassette sub-family C member 3::ATP-binding cassette, sub-family C (CFTR/MRP), member 3::ATP-binding cassette, sub-family C, member 3::ABC31::DKFZp686E22157::multi-specific organic anion transporter D::multidrug resistance associated protein::multidrug resistance-associated protein 3::MRP3::MLP2::MOAT-D::EST90757"	"ABCC3"
"OTTHUMP00000018560::MOAT-B::MOATB::MRP/cMOAT-related ABC transporter::MRP4::multi-specific organic anion transporter B::multidrug resistance-associated protein 4::multispecific organic anion transporter B::EST170205::RP11-74A12.1::canalicular multispecific organic anion transporter (ABC superfamily)::bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)::ATP-binding cassette sub-family C member 4::ATP-binding cassette, sub-family C (CFTR/MRP), member 4::ATP-binding cassette, sub-family C, member 4"	"ABCC4"
"pABC11::MRP5::multi-specific organic anion transporter C::multidrug resistance-associated protein 5::MOAT-C::MOATC::ABC33::DKFZp686C1782::ATP-binding cassette sub-family C member 5::ATP-binding cassette, sub-family C (CFTR/MRP), member 5::ATP-binding cassette, sub-family C, member 5::canalicular multispecific organic anion transporter C::SMRP::EST277145"	"ABCC5"
"MRP6::multi-specific organic anion transporter E::multidrug resistance-associated protein 6::MLP1::MOAT-E::MOATE::ABC34::anthracycline resistance-associated protein::ARA::ATP-binding cassette sub-family C member 6::ATP-binding cassette, sub-family C (CFTR/MRP), member 6::ATP-binding cassette, sub-family C, member 6::EST349056::GACI2::URG7::PXE::PXE1"	"ABCC6"
"LOC730013::ATP-binding cassette, sub-family C, member 6 pseudogene 2"	"ABCC6P2"
"PHHI::MRP8::sulfonylurea receptor (hyperinsulinemia)::sulfonylurea receptor 1::SUR::SUR1::SUR1delta2::TNDM2::HRINS::HHF1::HI::ATP-binding cassette sub-family C member 8::ATP-binding cassette transporter sub-family C member 8::ATP-binding cassette, sub-family C (CFTR/MRP), member 8::ATP-binding cassette, sub-family C, member 8::ABC36"	"ABCC8"
"FLJ36852::ATFB12::ATP-binding cassette sub-family C member 9::ATP-binding cassette transporter sub-family C member 9::ATP-binding cassette, sub-family C (CFTR/MRP), member 9::ATP-binding cassette, sub-family C, member 9::ABC37::CANTU::CMD1O::sulfonylurea receptor 2::sulfonylurea receptor 2A::SUR2"	"ABCC9"
"ABC42::ALD::ALDP::AMN::adrenoleukodystrophy protein::ATP-binding cassette sub-family D member 1::ATP-binding cassette, sub-family D (ALD), member 1::OTTHUMP00000025960"	"ABCD1"
"hALDR::ALDL1::ALDR::ALDRP::adrenoleukodystrophy-like 1::adrenoleukodystrophy-related protein::ABC39::ATP-binding cassette sub-family D member 2::ATP-binding cassette, sub-family D (ALD), member 2::ATP-binding cassette, sub-family D, member 2"	"ABCD2"
"PXMP1::ZWS2::70 kDa peroxisomal membrane protein::ABC43::dJ824O18.1 (ATP-binding cassette, sub-family D (ALD), member 3 (PMP70, PXMP1))::ATP-binding cassette sub-family D member 3::ATP-binding cassette, sub-family D (ALD), member 3::ATP-binding cassette, sub-family D, member 3::OTTHUMP00000012428::peroxisomal membrane protein 1 (70kD, Zellweger syndrome)::Peroxisomal membrane protein-1 (70kD)::PMP70"	"ABCD3"
"PMP69::PMP70-related protein::peroxisomal membrane protein 1-like::peroxisomal membrane protein 69::P70R::P79R::PXMP1-L::PXMP1L::EST352188::ATP-binding cassette sub-family D member 4::ATP-binding cassette, sub-family D (ALD), member 4::ATP-binding cassette, sub-family D, member 4::69 kDa peroxisomal ABC-transporter::ABC41"	"ABCD4"
"RLI::ribonuclease 4 inhibitor::ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent) inhibitor::RNase L inhibitor::RNASEL1::RNASELI::RNS4I::OABP::OK/SW-cl.40::huHP68::ABC38::2'-5'-oligoadenylate-binding protein::ATP-binding cassette sub-family E member 1::ATP-binding cassette, sub-family E (OABP), member 1::ATP-binding cassette, sub-family E, member 1"	"ABCE1"
"ATP-binding cassette 50 (TNF-alpha stimulated)::ATP-binding cassette sub-family F member 1::ATP-binding cassette, sub-family F (GCN20), member 1::ATP-binding cassette, sub-family F, member 1::ABC27::ABC50::DADB-129D20.7::TNF-alpha-stimulated ABC protein::TNFalpha-inducible ATP-binding protein::OTTHUMP00000029110::OTTHUMP00000029111"	"ABCF1"
"ABC-type transport protein::ABC28::DKFZp586K1823::ATP-binding cassette sub-family F member 2::ATP-binding cassette, sub-family F (GCN20), member 2::ATP-binding cassette, sub-family F, member 2::HUSSY-18::HUSSY18::M-ABC1::EST133090::Iron inhibited ABC transporter 2::iron-inhibited ABC transporter 2"	"ABCF2"
"FLJ11198::EST201864::ATP-binding cassette sub-family F member 3::ATP-binding cassette, sub-family F (GCN20), member 3"	"ABCF3"
"homolog of Drosophila white::MGC34313::OTTHUMP00000109322::white protein homolog (ATP-binding cassette transporter 8)::WHITE1::ATP-binding cassette sub-family G member 1::ATP-binding cassette transporter 8::ATP-binding cassette transporter member 1 of subfamily G::ATP-binding cassette, sub-family G (WHITE), member 1::ABC transporter 8::ABC8"	"ABCG1"
"MRX::multi drug resistance efflux transport ATP-binding cassette sub-family G (WHITE) member 2::MXR::MXR1::placenta specific MDR protein::placenta-specific ATP-binding cassette transporter::MGC102821::mitoxantrone resistance protein::mitoxantrone resistance-associated protein::CDw338::ABC transporter::ATP-binding cassette sub-family G member 2::ATP-binding cassette transporter G2::ATP-binding cassette, sub-family G (WHITE), member 2::ATP-binding cassette, sub-family G, member 2::BCRP::BCRP1::BMDP::breast cancer resistance protein::CD338::ABC15::ABCP::UAQTL1::EST157481::GOUT1"	"ABCG2"
"ATP-binding cassette sub-family G member 4::ATP-binding cassette, sub-family G (WHITE), member 4::ATP-binding cassette, subfamily G, member 4::putative ABC transporter::WHITE2"	"ABCG4"
"sterolin 1::sterolin-1::STSL::OTTHUMP00000158956::ATP-binding cassette sub-family G member 5::ATP-binding cassette, sub-family G (WHITE), member 5::ATP-binding cassette, subfamily G, member 5"	"ABCG5"
"ATP-binding cassette sub-family G member 8::ATP-binding cassette, sub-family G (WHITE), member 8::ATP-binding cassette, subfamily G, member 8::STSL::sterolin 2::sterolin-2::GBD4::MGC142217"	"ABCG8"
"lung alpha/beta hydrolase 1::FLJ36128::LABH1::abhydrolase domain containing 1::abhydrolase domain-containing protein 1"	"ABHD1"
"FLJ11342::abhydrolase domain containing 10::abhydrolase domain-containing protein 10, mitochondrial"	"ABHD10"
"abhydrolase domain containing 11::abhydrolase domain-containing protein 11::WBSCR21::Williams Beuren syndrome chromosome region 21::williams-Beuren syndrome chromosomal region 21 protein::PP1226"	"ABHD11"
"PHARC::monoacylglycerol lipase ABHD12::RP5-965G21.2::ABHD12A::abhydrolase domain containing 12::abhydrolase domain-containing protein 12::dJ965G21.2::DKFZp434P106::C20orf22::BEM46L2"	"ABHD12"
"MGC129926::MGC129927::OTTHUMP00000178964::C14orf29::c14_5314::abhydrolase domain containing 12B::abhydrolase domain-containing protein 12B::BEM46L3"	"ABHD12B"
"FLJ14906::C13orf6::abhydrolase domain containing 13::abhydrolase domain-containing protein 13::BEM46L1::bA153I24.2::RP11-153I24.2::OTTHUMP00000018692::MGC27058"	"ABHD13"
"UNQ1913/PRO4373::DKFZp564O243::abhydrolase domain containing 14A::abhydrolase domain-containing protein 14A::DORZ1::FLJ60317::FLJ60467"	"ABHD14A"
"MGC15429::CCG1-interacting factor B::CIB::cell cycle gene 1-interacting factor B::abhydrolase domain containing 14B::Abhydrolase domain-containing protein 14B"	"ABHD14B"
"abhydrolase domain containing 15::abhydrolase domain-containing protein 15::UNQ6510/PRO21435::LOC116236"	"ABHD15"
"NG26::PP199::BAT5::abhydrolase domain containing 16A::abhydrolase domain-containing protein 16A::D6S82E::DAQB-195H10.5::HLA-B associated transcript 5::HLA-B associated transcript-5"	"ABHD16A"
"OTTHUMP00000031618::MGC42974::C20orf135::dJ591C20.1::abhydrolase domain containing 16B::abhydrolase domain-containing protein 16B::hypothetical protein LOC140701"	"ABHD16B"
"protein PHPS1-2::HS1-2::LABH2::lung alpha/beta hydrolase 2::MGC26249::MGC111112::PHPS1-2::abhydrolase domain containing 2::abhydrolase domain-containing protein 2::alpha/beta hydrolase domain containing protein 2"	"ABHD2"
"MGC11259::LABH3::lung alpha/beta hydrolase 3::abhydrolase domain containing 3::abhydrolase domain-containing protein 3::alpha/beta hydrolase domain containing protein 3"	"ABHD3"
"alpha/beta-hydrolase 4::ABH4::abhydrolase domain containing 4::abhydrolase domain-containing protein 4::FLJ12816::lyso-N-acylphosphatidylethanolamine lipase"	"ABHD4"
"NCIE2::MGC8731::CGI-58::CGI58::CDS::1-acylglycerol-3-phosphate O-acyltransferase ABHD5::abhydrolase domain containing 5::abhydrolase domain-containing protein 5::lipid droplet-binding protein CGI-58::IECN2"	"ABHD5"
"MGC14280::MGC2512::FLJ11743::abhydrolase domain containing 8::abhydrolase domain-containing protein 8"	"ABHD8"
"RP13-16H11.4::SSH3BP::SSH3BP1::spectrin SH3 domain binding protein 1::spectrin SH3 domain-binding protein 1::nap1 binding protein::NAP1BP::OTTHUMP00000019352::OTTHUMP00000019355::E3B1::Abelson interactor 1::ABI-1::abl interactor 1::abl-binding protein 4::abl-interactor 1::Abl-interactor protein 1 long::ABLBP4::interactor protein AblBP4::eps8 binding protein::eps8 SH3 domain-binding protein"	"ABI1"
"AIP-1::abelson interactor 2::ABI-2::ABI2B::abl binding protein 3::abl interactor 2::abl-binding protein 3::abl-interacting protein 1 (SH3-containing protein)::abl-interactor 2::abl-interactor protein 2b::AblBP3::arg protein tyrosine kinase-binding protein::arg-binding protein 1::argBP1::argBPIA::argBPIB::SSH3BP2"	"ABI2"
"NESH::NESH protein::new molecule including SH3::SSH3BP3::ABI family, member 3::ABI gene family member 3::ABI gene family, member 3"	"ABI3"
"target of Nesh-SH3::TARSH::nesh-binding protein::NESHBP::ABI family, member 3 (NESH) binding protein::ABI gene family member 3-binding protein::ABI gene family, member 3 (NESH) binding protein::FLJ41743::FLJ41754"	"ABI3BP"
"proto-oncogene c-Abl::proto-oncogene tyrosine-protein kinase ABL1::tyrosine-protein kinase ABL1::v-abl::v-abl Abelson murine leukemia viral oncogene homolog 1::RP11-83J21.1::c-ABL::c-abl oncogene 1, non-receptor tyrosine kinase::c-abl oncogene 1, receptor tyrosine kinase::bcr/abl::bcr/c-abl oncogene protein::Abelson tyrosine-protein kinase 1::ABL::p150::OTTHUMP00000022375::OTTHUMP00000022376::JTK7"	"ABL1"
"Abelson murine leukemia viral (v-abl) oncogene homolog 2::Abelson tyrosine-protein kinase 2::Abelson-related::Abelson-related gene protein::ABLL::ARG::arg tyrosine kinase::FLJ22224::FLJ31718::FLJ41441::RP11-177A2.3::tyrosine-protein kinase ARG::v-abl Abelson murine leukemia viral oncogene homolog 2::OTTHUMP00000033139::OTTHUMP00000033140"	"ABL2"
"MGC1224::OTTHUMP00000020530::OTTHUMP00000020531::OTTHUMP00000020536::RP11-317F20.1::ABLIM::abLIM-1::actin binding LIM protein 1::actin-binding double-zinc-finger protein::actin-binding LIM protein 1::actin-binding LIM protein family member 1::DKFZp781D0148::LIM actin-binding protein 1::LIMAB1::LIMATIN::KIAA0059::FLJ14564"	"ABLIM1"
"MGC141918::DKFZp761F129::abLIM-2::actin binding LIM protein 2::actin binding LIM protein family, member 2::actin-binding LIM protein 2::actin-binding LIM protein family member 2::KIAA1808::FLJ39684::FLJ26534"	"ABLIM2"
"HMFN1661::abLIM-3::actin binding LIM protein family, member 3::actin-binding LIM protein 3::actin-binding LIM protein family member 3"	"ABLIM3"
"NAGAT::fucosylglycoprotein 3-alpha-galactosyltransferase::fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase::glycoprotein-fucosylgalactoside alpha-galactosyltransferase::glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase::GTB::histo-blood group A transferase::histo-blood group A2 transferase::histo-blood group ABO system transferase::histo-blood group B transferase::B(A) alpha-1,3-galactosyltransferase::A3GALNT::A3GALT1::ABO A3 transferase::ABO blood group (alpha 1-3-N-acetylgalactosaminyltransferase, alpha 1-3-galactosyltransferase)::ABO glycosyltransferase::ABO weak transfer"	"ABO"
"active BCR-related::active breakpoint cluster region-related  protein::active breakpoint cluster region-related protein::FLJ45954::MDB"	"ABR"
"STARS::striated muscle activator of Rho-dependent signaling::actin-binding Rho activating protein::actin-binding Rho-activating protein"	"ABRA"
